,PROJ DESC,LOCATION,EST VALUE IN RANGE,PERMIT ISSUED,DESC OF WORK LINE 1,DESC OF WORK LINE 2,PARCEL ID,lat,long
0,COMMERCIAL NEW BUILDING,1043 GAINESVILLE HWY,"85,000",8/10/23,30X45 CONDITIONED STORAGE UNIT / STORAGE 53,PLAN REVIEW $240.00,XX080  074B,34.051345,-83.71597
1,COMMERCIAL NEW BUILDING,290 CLIFF DAY RD,"6,000,000",12/6/23,KING STEEL SHELL BUILDING,PLAN REVIEW $4581.00,XX092  024A,33.9754188,-83.6804496
2,COMMERCIAL NEW BUILDING,559 SMITH CEMETERY ROAD,"220,000",2/3/23,60x120 CONDITIONED SELF STORAGE / BLDG A,PLAN REVIEW $484.00,XX096  001A,33.9553366,-83.6869043
3,COMMERCIAL NEW BUILDING,559 SMITH CEMETERY ROAD,"75,000",1/31/23,30X120 NON CONDITIONED / BLDG B,PLAN REVIEW $484.00,XX096  001A,33.9553366,-83.6869043
4,COMMERCIAL NEW BUILDING,559 SMITH CEMETERY ROAD,"75,000",1/31/23,30X120 NON CONDITIONED / BLDG C,PLAN REVIEW $484.00,XX096  001A,33.9553366,-83.6869043
5,COMMERCIAL NEW BUILDING,559 SMITH CEMETERY ROAD,"75,000",1/31/23,20X120 NON CONDITIONED / BLDG D,PLAN REVIEW $484.00,XX096  001A,33.9553366,-83.6869043
6,COMMERCIAL NEW BUILDING,559 SMITH CEMETERY ROAD,"75,000",1/31/23,20X120 NON CONDITIONED / BLDG E,PLAN REVIEW $484.00,XX096  001A,33.9553366,-83.6869043
7,COMMERCIAL NEW BUILDING,952 FRED KILCREASE RD,"295,000",2/3/23,LIGHTNING RENTALS - WASH/DETAIL BUILDING,PLAN REVIEW $1193.00,XX051  055A,33.969065,-83.7958638
8,COMMERCIAL NEW BUILDING,990 LOGANVILLE HWY,"11,200,000",3/2/23,NGHS BETHLEHEM MOB,PLAN REVIEW  $3855.00,XX053  031H,33.9385809,-83.762409
9,COMMERCIAL NEW BUILDING,1570 UNIVERSITY DR,"350,000",12/6/23,70x150 METAL BUILDING WITH 30X30 LEAN-TO ( SHELL ONLY),LOT 7C  - PLAN REVEIW $1245.00,XX041B 008,33.969614,-83.826345
10,COMMERCIAL NEW BUILDING,85 MANNING GIN RD,0,4/18/23,99X69 FIRE STATION,FIRE STATION 3,BE06   099,33.9306569,-83.7082482
11,COMMERCIAL NEW BUILDING,985 HOG MOUNTAIN RD,"35,000,000",5/5/23,BETHLEHEM CHURCH MAIN CAMPUS - MAIN BUILDING,PLAN REVIEW $9105.00,XX107  006,33.959411,-83.6670989
