,Issued Date,Project Type,Work Classification,Project Address,Project Description,Heated Square Feet,Total Valuation,lat,long
0,2/16/24,Building - Residential,Single Family Residential,285 Macewan Circle,New Construction,"2,904.00","$482,296.32 ",34.0076793,-83.6976693
1,2/9/24,Building - Residential,Single Family Residential,592 Calgary Downs Drive,New Construction,"2,059.00","$341,958.72 ",34.0063467,-83.6970166
2,1/12/24,Building - Residential,Single Family Residential,594 Calgary Downs Drive,New Construction,"2,588.00","$429,815.04 ",34.0061558,-83.6973618
3,2/6/24,Building - Residential,Single Family Residential,246 Monroe Hwy,New Construction,"2,031.00","$337,308.48 ",33.9666888,-83.7174823
4,2/6/24,Building - Residential,Single Family Residential,492 Watson Rd,New Construction,"2,031.00","$337,308.48 ",33.9681132,-83.7145383
5,1/10/24,Building - Residential,Single Family Residential,"29 CEDAR BLUFF , WINDER,GA. 30680",NEW CONSTRUCTION  HOME,"3,193.00","$530,293.44 ",34.020265,-83.7078602
6,2/8/24,Building - Residential,Single Family Residential,151 Horton St ,"Remodel the house, electrical, plumbing and some framing",800,"$132,864.00 ",33.9855347,-83.7357165
7,1/3/24,Building - Commercial,Commercial,57 E Candler St.,The beer garden and exterior stage for the brewery,390,"$88,631.40 ",33.9915828,-83.7188758
8,10/12/23,Building - Residential,Single Family Residential,178 Alderman Lane,New Construction,"2,557.00","$424,666.56 ",34.008736,-83.6980274
9,10/12/23,Building - Residential,Single Family Residential,174 Alderman Lane,New Construction,"2,904.00","$482,296.32 ",34.0087591,-83.6976377
10,10/12/23,Building - Residential,Single Family Residential,170 Alderman Lane,New Construction,"2,557.00","$424,666.56 ",34.0084671,-83.6973238
11,9/28/23,Building - Residential,Single Family Residential,169 Alderman Lane,New Construction,"2,451.00","$407,062.08 ",34.0084303,-83.6970754
12,9/28/23,Building - Residential,Single Family Residential,171 Alderman Lane,New Construction,"2,273.00","$377,499.84 ",34.0086121,-83.6972343
13,9/6/23,Building - Residential,Single Family Residential,183 Alderman Lane,New Construction,"2,557.00","$424,666.56 ",34.0085549,-83.6985546
14,9/21/23,Building - Residential,Single Family Residential,70 EAST WRIGHT STREET,"New single family home, sewer and water tie","1,400.00","$232,512.00 ",33.9936122,-83.7106354
15,12/13/23,Building - Commercial,Commercial,189 W Athens Street,New Ace Hardware Retail Store,"34,446.00","$6,223,358.82 ",33.9979587,-83.7354986
16,8/14/23,Building - Residential,Single Family Residential,180 Alderman Lane,New Construction,"2,109.00","$350,262.72 ",34.008601,-83.6982244
17,8/8/23,Building - Residential,Single Family Residential,182 Alderman Lane,New Construction,"2,451.00","$407,062.08 ",34.0085549,-83.6985546
18,8/8/23,Building - Residential,Single Family Residential,584 Calgary Downs Drive,New Construction,"2,451.00","$407,062.08 ",34.0072098,-83.6969887
19,8/8/23,Building - Residential,Single Family Residential,281 Macewan Circle,New Construction,"2,557.00","$424,666.56 ",34.0072082,-83.6970016
20,8/8/23,Building - Residential,Single Family Residential,280 Macewan Circle,New Construction,"2,273.00","$377,499.84 ",34.0072082,-83.6970016
21,7/10/23,Building - Residential,Single Family Residential,576 Calgary Downs Drive,New Construction,"2,904.00","$482,296.32 ",34.0077683,-83.6963048
22,7/10/23,Building - Residential,Single Family Residential,286 Macewan Circle,New Construction,"2,451.00","$407,062.08 ",34.0076793,-83.6976693
23,10/26/23,Building - Commercial,Commercial,"401 Jefferson Hwy, Winder, GA",Ground Up Shell for C-Store & White Box,"6,773.00","$1,223,677.91 ",34.0089452,-83.7060322
24,7/6/23,Building - Residential,Single Family Residential,315 SECOND AVE,SINGLE FAMILY HOUSE,"2,770.00","$460,041.60 ",34.000559,-83.716053
25,12/6/23,Building - Residential,Multi-Family Residential,"137 South Broad Street, Winder 30680",Construction of new Duplex - two family dwelling,"1,422.00","$236,165.76 ",33.987523,-83.730905
26,12/6/23,Building - Residential,Multi-Family Residential,"32 Bill Rutledge Road, Winder 30680",Construction of a new Duplex - two family dwelling,"1,422.00","$236,165.76 ",33.9879824,-83.7303634
27,12/6/23,Building - Residential,Multi-Family Residential,"28 Bill Rutledge Road, Winder, 30680",Construction of a new Duplex - two family dwelling,"1,422.00","$236,165.76 ",33.987929,-83.729953
28,8/21/23,Building - Residential,Single Family Residential,71 W Candler St. Unit A & B,DUPLEX BUILDING - 2 UNITS,"3,700.00","$614,496.00 ",33.99483,-83.722227
29,8/21/23,Building - Residential,Single Family Residential,69 W Candler St. Unit A & B,DUPLEX BUILDING - 2 UNITS,"3,700.00","$614,496.00 ",33.9944726,-83.7222804
30,8/31/23,Building - Commercial,Commercial,317 N Broad Street,Scope of work is for new oil change building.,386,"$176,741.10 ",34.0080535,-83.7064421
31,6/14/23,Building - Residential,Single Family Residential,166 Alderman Lane,New Construction,"2,588.00","$429,815.04 ",34.0081026,-83.696889
32,6/14/23,Building - Residential,Single Family Residential,181 Alderman Lane,New Construction,"2,588.00","$429,815.04 ",34.0087014,-83.6983491
33,6/2/23,Building - Residential,Single Family Residential,163 Alderman Lane,New Construction,"2,588.00","$429,815.04 ",34.0079684,-83.6964865
34,6/2/23,Building - Residential,Single Family Residential,165 Alderman Lane,New Construction,"2,273.00","$377,499.84 ",34.0081358,-83.6966667
35,6/2/23,Building - Residential,Single Family Residential,167 Alderman Lane,New Construction,"2,325.00","$386,136.00 ",34.0082789,-83.6968756
36,6/2/23,Building - Residential,Single Family Residential,168 Alderman Lane,New Construction,"2,660.00","$441,772.80 ",34.008259,-83.6971152
37,6/1/23,Building - Residential,Single Family Residential,162 Alderman Lane,New Construction,"2,451.00","$407,062.08 ",34.0077781,-83.6965241
38,5/22/23,Building - Residential,Single Family Residential,164 Alderman Lane,New Construction-164 Alderman Ln,"2,325.00","$386,136.00 ",34.0079597,-83.6967008
39,6/2/23,Building - Residential,Single Family Residential,161 Alderman Lane,New Construction,"2,557.00","$424,666.56 ",34.0077934,-83.6963166
40,5/15/23,Building - Residential,Single Family Residential,572 Calgary Downs Drive,New Construction,"2,588.00","$424,832.64 ",34.0077683,-83.6963048
41,4/5/23,Building - Residential,Single Family Residential,574 Calgary Downs Drive,New Construction,"2,188.00","$363,383.04 ",34.0077683,-83.6963048
42,4/4/23,Building - Residential,Single Family Residential,921 Calgary Court,New Construction,"2,660.00","$441,772.80 ",34.0087202,-83.6957065
43,4/4/23,Building - Residential,Single Family Residential,580 Calgary Downs Drive,New Construction,"2,188.00","$363,383.04 ",34.0075916,-83.6965443
44,3/28/23,Building - Residential,Single Family Residential,600 Calgary Downs Drive,New Construction,"2,904.00","$482,296.32 ",34.0065986,-83.6983436
